rank_adj,rank_raw,rank_delta,sec_code,name,tse33,listed,avg_age,avg_tenure,avg_salary,salary35,factor,employees_nonconsolidated,employees_consolidated,emp_ratio,badge,salary35_fit,industry,source,period_end,doc_id
1,1,0,6861,株式会社キーエンス,電気機器,上場,35.0,11.3,21783259.0,21783259,1.0,3306.0,12784.0,0.2586,,21783259,製造業,tag,2026-03-20,S100YAHE
2,2,0,8058,三菱商事株式会社,卸売業,上場,42.3,17.0,21125472.0,18752316,0.8877,4456.0,63037.0,0.0707,本社のみ,18275336,卸売業・小売業,tag,2026-03-31,S100YB25
3,3,0,8031,三井物産株式会社,卸売業,上場,42.0,17.4,20589000.0,18360999,0.8918,5333.0,55463.0,0.0962,本社のみ,17840110,卸売業・小売業,tag,2026-03-31,S100YAVT
4,5,1,6146,株式会社ディスコ,機械,上場,37.2,10.6,18795641.0,17859078,0.9502,3687.0,5547.0,0.6647,,17750841,製造業,tag,2026-03-31,S100YC6I
5,4,-1,8001,伊藤忠商事株式会社,卸売業,上場,42.0,17.0,19911534.0,17756844,0.8918,4125.0,114570.0,0.036,本社のみ,17253094,卸売業・小売業,tag,2026-03-31,S100YA6H
6,6,0,8801,三井不動産株式会社,不動産業,上場,42.1,16.0,18555000.0,16427375,0.8853,1981.0,27704.0,0.0715,本社のみ,16067990,不動産業,tag,2026-03-31,S100YHUO
7,7,0,8053,住友商事株式会社,卸売業,上場,43.3,18.0,18402971.0,16087720,0.8742,4938.0,82488.0,0.0599,本社のみ,15897975,卸売業・小売業,tag,2026-03-31,S100YARD
8,11,3,9104,株式会社　商船三井,海運業,上場,38.4,12.9,16599254.0,15860182,0.9555,1433.0,11567.0,0.1239,,15229940,運輸業,tag,2026-03-31,S100YI2T
9,9,0,8002,丸紅株式会社,卸売業,上場,42.5,17.8,17843699.0,15790535,0.8849,4225.0,52658.0,0.0802,本社のみ,15424496,卸売業・小売業,tag,2026-03-31,S100YAY4
10,10,0,8802,三菱地所株式会社,不動産業,上場,42.0,16.0,17593300.0,15597606,0.8866,1286.0,11659.0,0.1103,,15244373,不動産業,tag,2026-03-31,S100YBLA
11,8,-3,8601,株式会社大和証券グループ本社,証券、商品先物取引業,上場,41.6,15.2,17934308.0,15556692,0.8674,624.0,14984.0,0.0416,本社のみ,15587064,金融業・保険業,tag,2026-03-31,S100YCMP
