edinet_code,year,ordinary_income,oi_basis,employees_consolidated,employees_nonconsolidated,source_year,back
E00007,2022,3722000000,nonconsolidated,,,2026,4
E00007,2023,1017000000,nonconsolidated,,,2026,3
E00007,2024,646000000,nonconsolidated,,,2026,2
E00007,2025,2229000000,nonconsolidated,,,2026,1
E00007,2026,2875000000,nonconsolidated,1106,1065,2026,0
E00008,2022,3658000000,consolidated,,,2026,4
E00008,2023,-1854000000,consolidated,,,2026,3
E00008,2024,4715000000,consolidated,,,2026,2
E00008,2025,6953000000,consolidated,,,2026,1
E00008,2026,8186000000,consolidated,4097,3325,2026,0
E00012,2022,6904000000,consolidated,,,2026,4
E00012,2023,8182000000,consolidated,,,2026,3
E00012,2024,8856000000,consolidated,,,2026,2
E00012,2025,10857000000,consolidated,,,2026,1
E00012,2026,10031000000,consolidated,2542,769,2026,0
E00014,2022,32372000000,consolidated,,,2026,4
E00014,2023,27776000000,consolidated,,,2026,3
E00014,2024,31963000000,consolidated,,,2026,2
E00014,2025,35301000000,consolidated,,,2026,1
E00014,2026,43187000000,consolidated,11526,1489,2026,0
E00015,2022,27596000000,consolidated,,,2026,4
E00015,2023,33500000000,consolidated,,,2026,3
E00015,2024,31106000000,consolidated,,,2026,2
E00015,2025,32254000000,consolidated,,,2026,1
E00015,2026,31251000000,consolidated,12479,1738,2026,0
E00021,2022,76080000000,consolidated,,,2026,4
E00021,2023,25306000000,consolidated,,,2026,3
E00021,2024,54102000000,consolidated,,,2026,2
E00021,2025,60235000000,consolidated,,,2026,1
E00021,2026,97556000000,consolidated,17591,5084,2026,0
E00023,2022,197980000000,nonconsolidated,,,2026,4
E00023,2023,166054000000,nonconsolidated,,,2026,3
E00023,2024,105272000000,nonconsolidated,,,2026,2
E00023,2025,119350000000,nonconsolidated,,,2026,1
E00023,2026,299800000000,nonconsolidated,7507,3179,2026,0
E00024,2022,65990000000,consolidated,,,2026,4
E00024,2023,19886000000,consolidated,,,2026,3
E00024,2024,44513000000,consolidated,,,2026,2
E00024,2025,76410000000,consolidated,,,2026,1
E00024,2026,136736000000,consolidated,8188,2587,2026,0
E00027,2022,509019000,consolidated,,,2026,4
E00027,2023,648752000,consolidated,,,2026,3
E00027,2024,251518000,consolidated,,,2026,2
E00027,2025,1238300000,consolidated,,,2026,1
E00027,2026,2289852000,consolidated,163,150,2026,0
E00030,2022,11454000000,consolidated,,,2026,4
E00030,2023,-752000000,consolidated,,,2026,3
E00030,2024,3640000000,consolidated,,,2026,2
E00030,2025,-10269000000,consolidated,,,2026,1
E00030,2026,-276000000,consolidated,983,465,2026,0
E00032,2022,8996000000,consolidated,,,2026,4
E00032,2023,9348000000,consolidated,,,2026,3
E00032,2024,10384000000,consolidated,,,2026,2
E00032,2025,9705000000,consolidated,,,2026,1
