edinet_code,year,avg_salary,avg_age,employees_nonconsolidated,source,period_end,doc_id
E00004,2017,5435851,42.5,613.0,textblock,2017-05-31,S100B922
E00004,2018,5492447,42.6,612.0,textblock,2018-05-31,S100DZ6E
E00004,2019,5554933,42.2,625.0,tag,2019-05-31,S100GUI8
E00004,2020,5604946,42.0,618.0,tag,2020-05-31,S100JKNH
E00004,2021,5737327,42.0,618.0,tag,2021-05-31,S100MCFR
E00004,2022,5927320,41.9,610.0,tag,2022-05-31,S100P2KJ
E00004,2023,5903605,41.6,628.0,tag,2023-05-31,S100RR2U
E00004,2024,6090161,41.3,645.0,tag,2024-05-31,S100U9OX
E00004,2025,5956612,41.7,630.0,tag,2025-05-31,S100WL4U
E00006,2017,6306000,37.1,680.0,textblock,2017-05-31,S100B8Q1
E00006,2018,6340000,37.6,693.0,textblock,2018-05-31,S100E09M
E00006,2019,6333000,37.5,663.0,tag,2019-05-31,S100GUE8
E00006,2020,6408000,37.5,678.0,tag,2020-05-31,S100JKSY
E00006,2021,6577000,38.2,700.0,tag,2021-05-31,S100MB3B
E00006,2022,6827000,38.6,687.0,tag,2022-05-31,S100P2T6
E00006,2023,6835000,38.7,693.0,tag,2023-05-31,S100RR8S
E00006,2024,6875000,39.0,696.0,tag,2024-05-31,S100U9TI
E00006,2025,7018000,39.4,698.0,tag,2025-05-31,S100WKSN
E00006,2026,7286000,39.3,694.0,tag,2026-05-31,S100YXUM
E00007,2021,3759625,40.4,1016.0,tag,2021-03-31,S100LNHS
E00007,2022,3856487,40.8,1005.0,tag,2022-03-31,S100OH43
E00007,2023,3994426,41.0,997.0,tag,2023-03-31,S100R6N0
E00007,2024,4043872,41.5,1024.0,tag,2024-03-31,S100TVP2
E00007,2025,4432767,41.9,1022.0,tag,2025-03-31,S100W4PR
E00007,2026,4691647,42.3,1065.0,tag,2026-03-31,S100YK0W
E00008,2017,5073764,36.0,989.0,textblock,2017-03-31,S100AKM9
E00008,2018,5163495,36.2,3289.0,textblock,2018-03-31,S100DBDY
E00008,2019,5402067,36.8,3410.0,tag,2019-03-31,S100G4GA
E00008,2020,5223481,37.4,3403.0,tag,2020-03-31,S100J1N2
E00008,2021,5579374,37.9,3389.0,tag,2021-03-31,S100LPX2
E00008,2022,5195882,38.1,3443.0,tag,2022-03-31,S100OI8L
E00008,2023,5124130,38.9,3442.0,tag,2023-03-31,S100R1XO
E00008,2024,5323781,39.6,3328.0,tag,2024-03-31,S100TPNJ
E00008,2025,6123130,40.2,3267.0,tag,2025-03-31,S100W0ZY
E00008,2026,6029004,40.6,3325.0,tag,2026-03-31,S100YKAZ
E00009,2021,4181475,40.1,933.0,tag,2021-06-30,S100MGBK
E00009,2022,4501537,40.8,871.0,tag,2022-06-30,S100P81H
E00009,2023,4521806,43.1,821.0,tag,2023-06-30,S100RVVU
E00009,2024,4902560,43.7,874.0,tag,2024-06-30,S100UEB6
E00009,2025,4916352,42.9,863.0,tag,2025-06-30,S100WPSG
E00011,2017,8518404,41.8,4485.0,textblock,2017-03-31,S100AH2F
E00011,2018,8670267,42.0,4693.0,textblock,2018-03-31,S100D9AB
E00011,2019,8593312,42.2,4824.0,tag,2019-03-31,S100G299
E00011,2020,8587314,42.5,4914.0,tag,2020-03-31,S100IV2U
E00011,2021,8699028,42.6,5073.0,tag,2020-12-31,S100L2ML
E00011,2022,8723534,43.2,5091.0,tag,2021-12-31,S100NP59
E00011,2023,8980817,43.8,5139.0,tag,2022-12-31,S100QHH7
E00011,2024,9145037,44.0,5235.0,tag,2023-12-31,S100T4Z9
E00011,2025,9318466,44.3,5341.0,tag,2024-12-31,S100VIRG
E00011,2026,9755717,44.1,5581.0,tag,2025-12-31,S100XTVO
E00012,2017,6640429,39.7,610.0,textblock,2017-03-31,S100AJ83
E00012,2018,6739584,39.8,639.0,textblock,2018-03-31,S100D8HA
E00012,2019,6532634,39.6,664.0,tag,2019-03-31,S100G2KO
E00012,2020,6971941,40.2,664.0,tag,2020-03-31,S100IVD1
E00012,2021,6974126,40.4,682.0,tag,2021-03-31,S100LORW
E00012,2022,7134548,40.6,695.0,tag,2022-03-31,S100OED4
E00012,2023,7252138,40.8,704.0,tag,2023-03-31,S100R30D
E00012,2024,8460725,41.3,711.0,tag,2024-03-31,S100TQGG
E00012,2025,8911995,41.6,734.0,tag,2025-03-31,S100W543
E00012,2026,9268717,41.6,769.0,tag,2026-03-31,S100YE8K
E00014,2017,8072709,42.4,1142.0,textblock,2017-03-31,S100AJIN
E00014,2018,8333780,42.4,1158.0,textblock,2018-03-31,S100DG2B
E00014,2019,8020481,42.49,1203.0,tag,2019-03-31,S100G50V
E00014,2020,7994572,42.62,1233.0,tag,2020-03-31,S100IXP6
E00014,2021,8005060,42.69,1247.0,tag,2021-03-31,S100LORU
E00014,2022,8018214,42.67,1275.0,tag,2022-03-31,S100OH0Q
E00014,2023,7985630,43.01,1485.0,tag,2023-03-31,S100R66L
E00014,2024,7660106,43.1,1504.0,tag,2024-03-31,S100TQLS
E00014,2025,8355658,43.07,1505.0,tag,2025-03-31,S100W2X5
E00014,2026,8506166,42.82,1489.0,tag,2026-03-31,S100YHOQ
E00015,2017,7195774,41.6,1540.0,textblock,2017-03-31,S100AIUC
E00015,2018,7218571,41.7,1538.0,textblock,2018-03-31,S100DAMI
E00015,2019,7113922,41.9,1578.0,tag,2019-03-31,S100G1Q8
E00015,2020,7067533,41.7,1614.0,tag,2020-03-31,S100IY19
E00015,2021,6975720,41.6,1661.0,tag,2021-03-31,S100LMQB
E00015,2022,7052001,41.8,1647.0,tag,2022-03-31,S100OD1O
E00015,2023,7426835,42.1,1640.0,tag,2023-03-31,S100R5V0
E00015,2024,7496699,41.8,1651.0,tag,2024-03-31,S100TOYU
E00015,2025,7684093,41.4,1689.0,tag,2025-03-31,S100W172
E00015,2026,7831821,41.0,1738.0,tag,2026-03-31,S100YCK1
E00021,2017,7154000,41.1,4580.0,textblock,2017-03-31,S100AJT3
E00021,2018,6993000,41.7,4664.0,textblock,2018-03-31,S100D6VS
E00021,2019,7185000,41.2,4807.0,tag,2019-03-31,S100FX0A
E00021,2020,6543000,41.3,4906.0,tag,2020-03-31,S100J22N
E00021,2021,6573000,41.8,6153.0,tag,2021-03-31,S100LMJY
E00021,2022,6658000,42.0,6208.0,tag,2022-03-31,S100OES8
E00021,2023,6971000,42.2,5450.0,tag,2023-03-31,S100R12D
E00021,2024,7097000,42.6,5408.0,tag,2024-03-31,S100TRRS
E00021,2025,7141000,43.2,5315.0,tag,2025-03-31,S100W34Q
E00021,2026,7329000,43.0,5084.0,tag,2026-03-31,S100YFRY
E00023,2017,7835000,43.3,2279.0,textblock,2017-03-31,S100AOAB
E00023,2018,7745000,43.5,2308.0,textblock,2018-03-31,S100DEMM
