id,corporate_number,positivedb_name,overtime_all,overtime_scope,overtime_unit1,overtime_unit1_hours,overtime_unit2,overtime_unit2_hours,overtime_unit3,overtime_unit3_hours,overtime_unit4,overtime_unit4_hours,overtime_unit5,overtime_unit5_hours,paid_leave_all,paid_leave_unit1,paid_leave_unit1_rate,paid_leave_unit2,paid_leave_unit2_rate,paid_leave_unit3,paid_leave_unit3_rate,paid_leave_unit4,paid_leave_unit4_rate,paid_leave_unit5,paid_leave_unit5_rate,wage_gap_all,wage_gap_regular,wage_gap_nonregular,wage_gap_period,wage_gap_note,as_of,updated_at
6861,4120001051530,株式会社キーエンス,,,,,,,,,,,,,,正社員,38.8,,,,,,,,,43.2,43.7,92,2025年3月21日～2026年3月20日,,2026年3月時点,2026年06月12日
3003,9010001008702,ヒューリック株式会社,29.9,対象正社員,正社員,29.9,,,,,,,,,81.2,,,,,,,,,,,63.1,63.7,51.3,2025年1月1日～2025年12月31日,"当社では、女性の登用を積極的に進めており、部長の最若手である45歳以上に占める部長の比率については、男女の差異は以下の通りです。
45歳以上の男性　52人うち部長　19人36.5%
45歳以上の女性　13人うち部長　3人23.1%

また、2008年に開始した新卒採用は男女同数を基本方針としており、新卒採用者における男女の賃金の差異はほとんどありません。

2008年以降の新卒社員では
（区分）　　　　　　　　（男女の賃金の差異）
全労働者　　　　　　　　　90.8%
うち正規雇用労働者　　　　90.8%
うち非正規雇用労働者　　　該当者なし

以上のように、上位職位に女性が少ないことを主要因として、男女の賃金の差異が生じているものの、2025年度は全労働者・正規雇用労働者の差異は60%以上を維持しています。
今後、新卒採用者の上位職位登用が進めば、男女の賃金の差異は縮小していく見込みです。",2025年12月時点,2026年03月24日
6146,6010801007501,株式会社ディスコ,,,,,,,,,,,,,81.6,,,,,,,,,,,57,63.3,58.4,2025年4月1日～2026年3月31日,"総合職、事務職、技能職における職群ごとの賃金等に関する内容は、有価証券報告書(下記URL p.76)に記載しております。
各職群の各等級において、男女の賃金差異に著しい差異はありません。
https://www.disco.co.jp/jp/ir/library/doc/fs/fs87.pdf",2026年3月時点,2026年08月20日
8058,5010001008771,三菱商事株式会社,10.5,その他,総合職,14.1,一般職,3.3,嘱託その他,3.2,派遣社員,5.6,,,,対象とする労働者すべて,73.1,,,,,,,,,64.7,65.2,60.1,2025年4月1日～2026年3月31日,"正規雇用には総合職と一般職を含みます。

当社では、同一資格・同一職務レベルにおける報酬体系および採用・選考において男女間で差異を設けていませんが、差異の要因として、以下2点が挙げられます。
①  一般職を希望する求職者に女性が多く、結果として採用者も女性が多いこと
②  2000年代に入る前までは総合職の採用における女性比率が一桁台と少なく、現在も特に上位の資格・職務レベルにおける男女比率に差があること
①については、今後も男女問わず適性のある人材の確保に努めます。 また、②については、社内における女性の活躍しやすい環境整備を進めるべく、マイルストーンを設定の上、採用・育成・登用の観点において取組強化を図っています。",2026年4月時点,2026年07月14日
8031,1010001008767,三井物産株式会社,6.1,対象正社員,総合職,6.1,嘱託,4.9,派遣社員,5,,,,,,社員,69,,,,,,,,,59.9,60.4,54.1,2024年4月1日～2025年3月31日,当社では人事評価に際して、一人ひとりの能力発揮と組織貢献に基づき適切に評価を行っており、同一労働における男女間賃金格差はありません。男女間賃金格差が生じる主な要因は、女性管理職比率11.0%に表されるように、相対的に賃金の高い役職における男女比率が異なることが挙げられます。2024年7月の人事制度改定により、職種（担当職及び業務職）を統合した結果、各階層別での女性比率が向上したことに伴い男女間賃金格差も改善傾向にあります。今後も女性活躍推進に向けた施策を実行することで女性の管理職登用を推進し、男女間賃金格差の縮小に取り組みます。,2025年3月時点,2025年10月10日
8001,7120001077358,伊藤忠商事株式会社,10.7,対象正社員,総合職,26,,,,,,,,,,正社員,69.1,,,,,,,,,58.4,59.2,60.9,2024年4月1日～2025年3月31日,"正規雇用従業員における役職別の男女間賃金格差は限定的。当社の女性総合職の約8割が20～30代であるため、当社全体の男女間賃金格差は58.4％。以下の女性活躍推進施策により、長期的に格差が是正される見込み。

1．女性執行役員の登用
2023年12月の取締役会において、執行役員の人事制度改訂を決定し、2024年4月1日付で新たに5名の女性
執行役員を登用し、全役員に占める女性比率が21％となった。経営層の多様化は、生活消費関連ビジネスに注力する当社にとって非常に重要な要素になるため、「2030年までに、全役員（執行役員を含む）に占める女性比率を30％以上」とする数値目標を設定。社内外に当社の女性登用に向けた「本気度」を示し、アファーマティブな挑戦機会の提供とキャリアの障壁を軽減するきめ細かな個別支援を通じた、女性幹部候補人材の育成パイプラインを強化。

2．計画的な機会提供・キャリア継続支援
経営陣が主導し、当社総合職として重要なキャリアである投資先への出向・海外駐在経験の提供、キャリア継続に向けたフェムテック活用（卵子凍結、不妊治療の費用補助）、職場の意識改革・継続的な女性登用支援を実行。

3．事務職のビジネスエキスパート(BX)職への名称変更
事務業務は成長を支える重要な業務であり、「組織を運営する要」としての「総合職のパートナー」との位置付けを再確認し、職掌名を「ビジネスエキスパート(BX)職」に改称することを決定しました。
企業価値向上を支える専門知識・スキルを習得し、専門性を発揮しながら、事務業務の統括、若手社員等の指導・育成を担います。",2025年3月時点,2025年12月26日
8801,6010001034957,三井不動産株式会社,9.1,その他,総合職,11.9,エキスパート職,11.4,業務職,5.3,契約社員,3.7,,,,正社員・契約社員（通年在籍者）,71.2,,,,,,,,,49.9,62.7,46.7,2025年4月1日～2026年3月31日,"(a)男女の賃金差異の状況について
　　賃金は性別に関係なく、同一職掌・同一資格において、同一の給与制度を適用しております。また人事評価に関しても性別による差異はございません。賃金差異は、男性従業者と女性従業者の職掌・雇用形態等における人員構成の違いなどから生じているものになります。例えば、2026年4月時点での当社の女性正社員比率は30.8%ですが、女性管理職比率は11.1%となっているなど、賃金の高い等級における女性比率が低いことも、男女の賃金差異が生じている一因となっています。
(b)男女の賃金差異の今後の対策について
　・当社は経営戦略であるD&I推進のなかでも、特に女性活躍推進を重要テーマと位置づけて取り組んでいます。その中で、女性活躍推進に関するKPIとして女性管理職比率2030年20%、女性採用比率毎年40%、育児休業取得者の復帰率毎年100%等を掲げています。
　・女性活躍を推進し、女性の自律的なキャリア形成支援や組織の意識改革、長く働き続けられる環境整備に取り組むことで、賃金の高い等級における女性比率が高まり、男女賃金差異の縮小につながるものと考えております。",2026年4月時点,2026年07月03日
3498,3370103000741,霞ヶ関キャピタル株式会社,10,対象正社員,正社員,10,派遣社員,2,,,,,,,,正社員,50,契約社員,50,,,,,,,53,50.2,106.1,2023年9月1日～2024年8月31日,,2024年8月時点,2024年11月06日
9104,4010401082896,株式会社商船三井,12.5,対象正社員,総合職(事務),13.7,総合職(技術),12.2,一般職,1.4,契約社員(フルタイム),2,嘱託社員(フルタイム),0,63.8,正社員,63.8,,,,,,,,,68.7,73.8,50.6,2025年4月1日～2026年3月31日,"・男女間賃金差異が生じる主な要因として、管理職に占める女性比率などにより、相対的に賃金の高い役職における男女比率が異なることが挙げられます。当社では職務内容と個人の能力・行動に基づいた人事運用を行っており、男女において同一の報酬制度・評価制度を適用しています。
・キャリアパスの複線化、評価・処遇制度の見直しなどを行い、男女賃金差異縮小に取り組むとともに、多様な人財一人ひとりが継続的に成長できる環境づくりを推進していきます。

（注）１．「女性の職業生活における活躍の推進に関する法律」（平成27年法律第64号）の規定に基づき算出
しています。
　　　２．労働者には受入出向者を除き、出向者、海上従業員、陸上従業員を含みます。
　　　３．男女の賃金の差異は、男性の賃金平均に対する女性の賃金平均の割合を示しています。",2025年3月時点,2026年07月16日
8802,2010001008774,三菱地所株式会社,12.1,対象正社員,総合職,14.6,総合A職,6.1,専任職,12.4,デジタル専任職,17.3,業務職,2.7,69,正社員,69.3,非正社員,67.3,,,,,,,54.3,57.3,44.6,2025年4月1日～2026年3月31日,"・「女性の職業生活における活躍の推進に関する法律」（平成27年法律第64号）の規定に基づき算出したもので、2025年4月1日時点のもの

・「2025年4月から2026年3月の課税支給総額（a）」を「2026年3月時点で給与が支給されている従業員の人数（b）」で除することで算出した「年間平均賃金（a/b）」において、男性を100とした
ときの女性の割合を記載しております。（事業年度を通じて、労働者及び男女比の変動がほぼ見
られないことから、（b）について事業年度の特定の日に雇用している労働者の数を採用しており
ます。）なお、時短勤務者等もフルタイム勤務者同様1人として集計しております。",2025年3月時点,2026年07月16日
